"start_year";"EinheitenTyp";"ags_federal_state";"n";"mean";"sum";"pop_obliged_to_income_taxes";"total_income_in_1000_euro";"total_taxes_on_income_in_1000_euro";"voters_eligible";"voter_turnout";"votes_valid";"votes_cdu_csu";"votes_spd";"votes_greens";"votes_fdp";"votes_the_left";"votes_afd";"votes_other_parties"
1917;"Wasser";"09";1;25;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1918;"Solareinheit";"01";1;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1918;"Solareinheit";"03";1;3,6;3,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1918;"Stromspeichereinheit";"03";1;2,25;2,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1918;"Solareinheit";"06";1;3,99;3,99;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1918;"Wasser";"06";1;25;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1918;"Solareinheit";"07";1;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1918;"Gas";"08";1;0,75;0,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1918;"Solareinheit";"08";1;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1918;"Stromspeichereinheit";"08";2;4,15;8,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1918;"Solareinheit";"09";1;9,88;9,88;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1918;"Stromspeichereinheit";"09";1;5,4;5,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1919;"Solareinheit";"05";1;36;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1919;"Solareinheit";"07";1;9,9;9,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1919;"Gas";"08";1;0,75;0,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1919;"Solareinheit";"08";3;8,398;25,194;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1919;"Wasser";"08";3;126;378;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1919;"Wasser";"09";3;198;594;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
