"start_year";"EinheitenTyp";"Landkreis";"name";"ags_county";"n";"mean";"sum";"pop_obliged_to_income_taxes";"total_income_in_1000_euro";"total_taxes_on_income_in_1000_euro";"voters_eligible";"voter_turnout";"votes_valid";"votes_cdu_csu";"votes_spd";"votes_greens";"votes_fdp";"vodes_the_left";"votes_afd";"votes_other_parties"
2013;"Solareinheit";"Frankfurt (Oder)";"Frankfurt (Oder), Stadt";"12053";2;3,455;6,91;25416;681471;96040;47973;64,9;30495;9669;6949;1257;593;8294;1906;1827
2013;"Stromspeichereinheit";"Frankfurt (Oder)";"Frankfurt (Oder), Stadt";"12053";1;4,41;4,41;25416;681471;96040;47973;64,9;30495;9669;6949;1257;593;8294;1906;1827
2013;"Solareinheit";"Potsdam";"Potsdam, Stadt";"12054";6;3,82833333333333;22,97;79752;2747730;489761;128279;73,6;93181;25142;23610;9586;2524;22430;4877;5012
2013;"Verbrennung";"Potsdam";"Potsdam, Stadt";"12054";1;20;20;79752;2747730;489761;128279;73,6;93181;25142;23610;9586;2524;22430;4877;5012
2013;"Solareinheit";"Barnim";"Barnim";"12060";32;256,202125;8198,468;80002;2573015;394058;148254;68,4;99842;32441;21181;4682;2261;26514;6190;6573
2013;"Stromspeichereinheit";"Barnim";"Barnim";"12060";5;3,18;15,9;80002;2573015;394058;148254;68,4;99842;32441;21181;4682;2261;26514;6190;6573
2013;"Verbrennung";"Barnim";"Barnim";"12060";4;9,225;36,9;80002;2573015;394058;148254;68,4;99842;32441;21181;4682;2261;26514;6190;6573
2013;"Wasser";"Barnim";"Barnim";"12060";1;91,84;91,84;80002;2573015;394058;148254;68,4;99842;32441;21181;4682;2261;26514;6190;6573
2013;"Windeinheit";"Barnim";"Barnim";"12060";18;3015,27777777778;54275;80002;2573015;394058;148254;68,4;99842;32441;21181;4682;2261;26514;6190;6573
2013;"Solareinheit";"Dahme-Spreewald";"Dahme-Spreewald";"12061";40;88,865475;3554,619;75968;2379598;366287;134465;72,4;95594;32935;21548;4251;2652;20455;6196;7557
2013;"Verbrennung";"Dahme-Spreewald";"Dahme-Spreewald";"12061";3;23,3333333333333;70;75968;2379598;366287;134465;72,4;95594;32935;21548;4251;2652;20455;6196;7557
