"start_year";"EinheitenTyp";"ags_federal_state";"n";"mean";"sum"
2004;"Verbrennung";"12";3;11,6266666666667;34,88
2004;"Verbrennung";"14";9;69,79;628,11
2004;"Verbrennung";"15";4;593,375;2373,5
2004;"Verbrennung";"16";2;50;100
2004;"Wasser";"03";1;12;12
2004;"Wasser";"05";5;76,4;382
2004;"Wasser";"06";1;10;10
2004;"Wasser";"08";10;58,9;589
2004;"Wasser";"09";5;1026,64;5133,2
2004;"Wasser";"14";6;107,166666666667;643
2004;"Wasser";"16";1;14;14
2004;"Windeinheit";"01";11;1759,09090909091;19350
2004;"Windeinheit";"03";89;1741,59550561798;155002
2004;"Windeinheit";"04";2;2800;5600
2004;"Windeinheit";"05";50;1460;73000
2004;"Windeinheit";"06";7;1728,57142857143;12100
2004;"Windeinheit";"07";12;1891,66666666667;22700
2004;"Windeinheit";"08";9;1777,77777777778;16000
2004;"Windeinheit";"09";4;1500;6000
2004;"Windeinheit";"12";47;1731,91489361702;81400
2004;"Windeinheit";"13";6;1833,33333333333;11000
2004;"Windeinheit";"14";16;1687,5;27000
2004;"Windeinheit";"15";23;2058,69565217391;47350
2004;"Windeinheit";"16";5;1620;8100
2005;"Biomasse";"01";16;333,375;5334
2005;"Biomasse";"03";96;526,291666666667;50524
2005;"Biomasse";"04";1;1150;1150
2005;"Biomasse";"05";63;405,015873015873;25516
2005;"Biomasse";"06";9;402,444444444444;3622
2005;"Biomasse";"07";11;305,454545454545;3360
2005;"Biomasse";"08";74;331,117162162162;24502,67
2005;"Biomasse";"09";179;313,836592178771;56176,75
2005;"Biomasse";"12";18;375,111111111111;6752
2005;"Biomasse";"13";19;512,789473684211;9743
2005;"Biomasse";"14";13;242,769230769231;3156
2005;"Biomasse";"15";9;443;3987
2005;"Biomasse";"16";3;1930;5790
2005;"Geothermie";"05";1;650;650
2005;"Solareinheit";"01";371;16,1599595687332;5995,345
2005;"Solareinheit";"02";9;6,23111111111111;56,08
2005;"Solareinheit";"03";941;18,2052954303932;17131,183
2005;"Solareinheit";"04";19;4,33921052631579;82,445
2005;"Solareinheit";"05";1919;33,6183022407504;64513,522
2005;"Solareinheit";"06";1215;21,8522222222222;26550,45
2005;"Solareinheit";"07";689;68,7365834542816;47359,506
2005;"Solareinheit";"08";3702;41,1357747163695;152284,638
2005;"Solareinheit";"09";4146;30,5181497829233;126528,249
2005;"Solareinheit";"10";135;31,7374444444444;4284,555
2005;"Solareinheit";"11";13;14,6561538461538;190,53
2005;"Solareinheit";"12";89;38,2553483146067;3404,726
2005;"Solareinheit";"13";75;52,2188;3916,41
2005;"Solareinheit";"14";183;24,1434043715847;4418,243
2005;"Solareinheit";"15";82;15,2209024390244;1248,114
